Youtube Link,Start time,End time,Are Start And End Time Valid,Name of the video,Description,Target Video Name
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,142,159,TRUE,BEST NEWS VIDEOBOMBS EVER,Guy in a mask dancing,DancingGuyInMask.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,160,173,TRUE,BEST NEWS VIDEOBOMBS EVER,Guy drinks beer with eyes popping out,GuyBeerEyePopOut.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,174,180,TRUE,BEST NEWS VIDEOBOMBS EVER,"Reporter thwarts two guys
",ReporterThwartsTwoGuys.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,181,186,TRUE,BEST NEWS VIDEOBOMBS EVER,Guys Slips and Falls,GuySlipsAndFalls.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,187,192,TRUE,BEST NEWS VIDEOBOMBS EVER,Guy walks in fron of live camera,GuyWalksInFrontOfCamera.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,192,198,TRUE,BEST NEWS VIDEOBOMBS EVER,Guy approaches with an Air Horn,GuyWithAirHorn.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,199,210,TRUE,BEST NEWS VIDEOBOMBS EVER,"People in Costume walk by
",CostumePeople.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,222,240,TRUE,BEST NEWS VIDEOBOMBS EVER,Over enthusiastic guy in green,OverEnthuGuyInGreen.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,240,265,TRUE,BEST NEWS VIDEOBOMBS EVER,2 Guys Dancing and Having fun,2GuysDancing.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,265,270,TRUE,BEST NEWS VIDEOBOMBS EVER,A Guy making Antler Horns with Hands,AntlerHands.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,282,286,TRUE,BEST NEWS VIDEOBOMBS EVER,Guy expressing Victory,GuyVictoryExpress.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,302,308,TRUE,BEST NEWS VIDEOBOMBS EVER,Giant BasketBall Dude,GiantBasketBallDude.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,308,320,TRUE,BEST NEWS VIDEOBOMBS EVER,"One guy balancing on 2 cycles on top of each other
",BicycleAct.mp4
https://www.youtube.com/watch?v=u69gBfStONs&t=324s,320,331,TRUE,BEST NEWS VIDEOBOMBS EVER,Guy with a horse mask casually walks in snow,HorseMaskGuy.mp4
,,,,,,
https://www.youtube.com/watch?v=ORNrmyzsGwQ,3,25,TRUE,Cat Video Bombs!!,Cat Video Bombs 2 people in a vlog,"GreyCatVideoBombCouplePeople.mp4
"
https://www.youtube.com/watch?v=gXiiE6qh5Jc,9,25,TRUE,Best Cat video bombing ever !,Best Cat video bombing ever !,GingerCatPopsUpBehindCouch.mp4
https://www.youtube.com/watch?v=c7Z59I-Jzr4,27,53,TRUE,CAT VIDEO BOMBING LECTURE VIDEO - CATS VLOGS,CAT VIDEO BOMBING LECTURE VIDEO - CATS VLOGS,"CatVideoBombVlogLecture.mp4
"
https://www.youtube.com/watch?v=I73FHyvCH4U,21,53,TRUE,Cat does a videobomb,Cat does a videobomb,TabbyCatPlopsInFrontOfCamera.mp4
https://www.youtube.com/watch?v=z0L8si0HrmQ,7,40,TRUE,"Cat ""Video Bomb""",Curious Black Kitten,CuriousBlackKitten.mp4
https://www.youtube.com/watch?v=pBeaqQIRkN4,1,12,TRUE,Yoga cat photobomb - Cats Interrupting Yoga!,Yoga cat photobomb - Cats Interrupting Yoga!,YogaCatBomb.mp4
https://www.youtube.com/watch?v=Thy5Gkb770k,1,7,TRUE,Cat Video Bomb,Mother and son talks ,CatVideoBomb.mp4
https://www.youtube.com/watch?v=LRRoyAXsAH4,44,85,TRUE,Brother Video BOMB,Brother and Sister singing the song ,BrotherVideoBomb.mp4
,,,,,,
https://www.youtube.com/watch?v=fJzoIH9P3CE,20,42,TRUE,"Outtakes 1 My Photo...Video bombing Cat
",This is an outtake video featuring some clips of the video bombing cat.,Outtakes.mp4
https://www.youtube.com/watch?v=sZFWeF-RxWU,20,22,TRUE,"Opossum Videobombs New York Reporter on Live TV
",An opossum walked straight past her live shot,opossum.mp4
https://www.youtube.com/watch?v=cnvv4HCfVAU,33,41,TRUE,animals getting in the way of the camera,these animals just want to be filmed and videobomb people,AnimalsGettingInTheWay.mp4
https://www.youtube.com/watch?v=cnvv4HCfVAU,47,66,TRUE,animals getting in the way of the camera,Crow walks in front of camera capturing a stadium,CrowAudition.mp4
https://www.youtube.com/watch?v=cnvv4HCfVAU,77,104,TRUE,animals getting in the way of the camera,Man VideoBombs two chimps,BaldManVideoBombs2Chimps.mp4
https://www.youtube.com/watch?v=cnvv4HCfVAU,111,151,TRUE,animals getting in the way of the camera,Man videobombs Elephant and its baby,MamaAndBabyElephantVideobombedByOldDude.mp4
https://www.youtube.com/watch?v=cnvv4HCfVAU,157,165,TRUE,animals getting in the way of the camera,Cat Videobombs girl doing yoga,"LightTabbyCatVideobombsGirlYoga.mp4
"
https://www.youtube.com/watch?v=cnvv4HCfVAU,171,182,TRUE,animals getting in the way of the camera,Rooster Videobombs Bunch of puppies,RoosterVideoBombsPuppies.mp4
https://www.youtube.com/watch?v=E1o38UmPcg4,7,13,TRUE,VIDEOBOMBED BY A DOG (OUTTAKE),dog in the outtakes of the Ultimate Road Trip vlog,Vlog.mp4
https://www.youtube.com/watch?v=gXiiE6qh5Jc,10,13,TRUE,Best Cat video bombing ever !,Kind of funny this cat bombing behind in her,Bestcat.mp4
,,,,,,
,,,,,,
https://www.youtube.com/watch?v=m2ZlneT9SrA,8,15,TRUE,BestNBAVideoBombsfromthe2017-2018NBASeason!,players hijinks in front of the camera ,PlayersHijinks.mp4
https://www.youtube.com/watch?v=m2ZlneT9SrA,196,205,TRUE,BestNBAVideoBombsfromthe2017-2018NBASeason!,making funny expressions infront of camera,FunnyExpressions.mp4
https://www.youtube.com/watch?v=KdwONKbnph4,23,27,TRUE,BestNBAVideoBombsfromthe2013-2014NBASeason,player saying hi to the camera,PlayersHIToCamera.mp4
https://www.youtube.com/watch?v=KdwONKbnph4,100,103,TRUE,BestNBAVideoBombsfromthe2013-2014NBASeason,Interrupting with bear mask,BearMaskFun.mp4
https://www.youtube.com/watch?v=KdwONKbnph4,103,106,TRUE,BestNBAVideoBombsfromthe2013-2014NBASeason,Interrupting with buffalo mask,BuffaloMask.mp4
https://www.youtube.com/watch?v=KdwONKbnph4,107,112,TRUE,BestNBAVideoBombsfromthe2013-2014NBASeason,Interrupting with buffalo mask,BuffaloMaskFun.mp4
https://www.youtube.com/watch?v=F3ema1BjzA0,25,27,TRUE,"NBA""VideoBombed""Moments",player serious expression in front of the camera ,PlayerExpressions.mp4
https://www.youtube.com/watch?v=F3ema1BjzA0,28,33,TRUE,"NBA""VideoBombed""Moments",player funny Dance in front of the camera ,PlayerFunDance.mp4
https://www.youtube.com/watch?v=F3ema1BjzA0,42,50,TRUE,"NBA""VideoBombed""Moments",Funny Hi infornt of camera,FunnyHi.mp4
https://www.youtube.com/watch?v=F3ema1BjzA0,51,55,TRUE,"NBA""VideoBombed""Moments",Fun with Lady Reporter,LadyReporterFun.mp4
https://www.youtube.com/watch?v=F3ema1BjzA0,57,66,TRUE,"NBA""VideoBombed""Moments",Interrupting discussion,InterruptingDiscussion.mp4
https://www.youtube.com/watch?v=F3ema1BjzA0,90,93,TRUE,"NBA""VideoBombed""Moments",muscles showing to the camera,MusclesShowing.mp4
https://www.youtube.com/watch?v=F3ema1BjzA0,126,138,TRUE,"NBA""VideoBombed""Moments",licking the head,LickingFun.mp4
https://www.youtube.com/watch?v=F3ema1BjzA0,172,176,TRUE,"NBA""VideoBombed""Moments",Funny face Expression,FaceExpressions.mp4
https://www.youtube.com/watch?v=F3ema1BjzA0,186,190,TRUE,"NBA""VideoBombed""Moments",blind acting infront of camera,BlindFun.mp4
https://www.youtube.com/watch?v=F3ema1BjzA0,263,265,TRUE,"NBA""VideoBombed""Moments",Funny Dance,FunnyDance.mp4
https://www.youtube.com/watch?v=Oa46mEXTVMY,2,6,TRUE,DwightHowardDoestheRobotDuringVideobomb,Robot Dance,RobotDance.mp4
,,,,,,
https://www.youtube.com/watch?v=v5rJZVmKOPc,17,36,TRUE,The Ultimate Dog Photobomb with Kino Yoga in Thailand,Yoga video distabance,YogaVideoDog.mp4
https://www.youtube.com/watch?v=S9GtaK9u1p8,5,9,TRUE,Dog photobomb,Yoga dog in background,DogYoga.mp4
https://www.youtube.com/watch?v=4nygU8Qt8yg,2,22,TRUE,My dogs a legend...photobomber,dog face  in video,DogFace.mp4
https://www.youtube.com/watch?v=VPAIQhSmotc,19,21,TRUE,"E34 S4: Safee Sali Videobombs FO!",men distabing video,FaceExpDistance.mp4
https://www.youtube.com/watch?v=CM35bV7K9GI,16,21,TRUE,Westie dog video bombs,dog came infront of camera,DogInfrontCam.mp4
https://www.youtube.com/watch?v=6K_QYp_QFgk,12,27,TRUE,Cat's balls videobomb,cat came infront of camera,CatInfrontCam.mp4
https://www.youtube.com/watch?v=RAkfVn0YEoI,16,27,TRUE,Leaf-blower video-bombs Karin on the weather patio!,man distabing the video,MeninBackGround.mp4
https://www.youtube.com/watch?v=IvT4Hn9GY3Q,2,45,TRUE,"Cat Interrupts Video (clip from shadow box video)",cat interrupts video,CatInterruptsVideo.mp4
https://www.youtube.com/watch?v=XsPp9Ls0xyo,1,120,TRUE,Cat Interrupts Homework,"Cat Interrupts Homework","CatInterruptsHomework.mp4
"
https://www.youtube.com/watch?v=2JRlfeJ70qk,10,25,TRUE,Curious Dogs Interrupts Owner's Exercise | Top Dog Compilation,Curious Dogs Interrupts Owner's Exercise ,DogInterruptsOwnerExcercise.mp4
https://www.youtube.com/watch?v=2JRlfeJ70qk,26,47,TRUE,Curious Dogs Interrupts Owner's Exercise | Top Dog Compilation,Curious Dog Interrupts lady yoga,DogInterruptsLadyYoga.mp4
https://www.youtube.com/watch?v=2JRlfeJ70qk,50,73,TRUE,Curious Dogs Interrupts Owner's Exercise | Top Dog Compilation, Dog Interrupts men yoga,DogInterruptsMenYoga.mp4
https://www.youtube.com/watch?v=2JRlfeJ70qk,92,118,TRUE,Curious Dogs Interrupts Owner's Exercise | Top Dog Compilation,Dog interrupts lady Excercise,DogInterruptsLadyExcercise.mp4
https://www.youtube.com/watch?v=QqA79JTQYAw,7,9,TRUE,Funny dog videobomb.,dog came infront of camera,DogInfrontCamera.mp4
https://www.youtube.com/watch?v=pPwLomUJ4LQ,11,17,TRUE,"ADRIEN BRONER VIDEOBOMBS JOHN MOLINA: ""I'M KNOCKING HIM OUT""",former world champion Adrien Broner as he videobombed jr. welterweight contender John Molina,Adrien.mp4
,,,,,,
https://www.youtube.com/watch?v=ZOqWCeVChs0,4,20,TRUE,Video bomb: Men dance in storm's flooded streets,Men dances in flooded streets,MenDanceInFloodedStreets.mp4
https://www.youtube.com/watch?v=hYuHKw5EI78,42,51,TRUE,Little brother video bombs sister,Little brother video,LittleBrotherVideo.mp4
